ymtlab,0.5,2021-09-16 01:50:11.253745+00:00,2021-09-16 01:50:30.110198+00:00
ymtlab,0.5,2021-09-16 01:50:11.253745+00:00,2021-09-16 01:50:30.110198+00:00
ymtlab,0.5,2021-09-16 01:50:11.253745+00:00,2021-09-16 01:50:30.110198+00:00
ymtlab,0.4,2021-09-14 02:10:21.605246+00:00,2021-09-14 02:10:39.943854+00:00
ymtlab,0.5,2021-09-16 01:50:11.253745+00:00,2021-09-16 01:50:30.110198+00:00
ymtlab,0.4,2021-09-14 02:10:21.605246+00:00,2021-09-14 02:10:39.943854+00:00
ymtlab,1,2021-11-25 03:29:15.585394+00:00,2021-11-25 03:29:29.455727+00:00
ymtlab,0.5,2021-09-16 01:50:11.253745+00:00,2021-09-16 01:50:30.110198+00:00
ymtlab,W11,0.5,2021-09-16 01:50:11.253745+00:00,2021-09-16 01:50:30.110198+00:00
ymtlab,csvsample1,1,2021-11-25 05:23:53.672441+00:00,2021-11-25 05:24:04.856847+00:00
ymtlab,csvsample1,1,2021-11-25 05:23:53.672441+00:00,2021-11-25 05:24:04.856847+00:00
ymtlab,csvsample1,1,2021-11-25 05:23:53.672441+00:00,2021-11-25 05:24:04.856847+00:00
ymtlab,csvsample1,1.0,2021-11-25 05:26:59.816696+00:00,2021-11-25 05:27:11.951346+00:00
ymtlab,ymtlab's session 53 on 'quiz-test',0.5,2021-11-25 05:29:56.985928+00:00,2021-11-25 05:30:08.144583+00:00
ymtlab,quiz-test,0.5,2021-11-25 05:29:56.985928+00:00,2021-11-25 05:30:08.144583+00:00
ymtlab,53,0.5,2021-11-25 05:29:56.985928+00:00,2021-11-25 05:30:08.144583+00:00
ymtlab,csvsample1,0.5,2021-11-25 05:29:56.985928+00:00,2021-11-25 05:30:08.144583+00:00
ymtlab,数列の和とその極限,0.5,2021-11-25 05:29:56.985928+00:00,2021-11-25 05:30:08.144583+00:00
